Jessica Coatney,jessep@fannect.me,alive,KSU,ISU,empty,empty,empty,empty,"[[['KSU', 'ISU', 'empty', 'empty', 'empty', 'empty']]]"
Will Coatney,will@fannect.me,alive,TX,KU,empty,empty,empty,empty,"[[['TX', 'KU', 'empty', 'empty', 'empty', 'empty']]]"
Hunter Browning,hunter@fannect.me,alive,MU,TCU,empty,empty,empty,empty,"[[['MU', 'TCU', 'empty', 'empty', 'empty', 'empty']]]"
Bob,x@fannect.me,alive,BYU,TTU,empty,empty,empty,empty,"[[['BYU', 'TTU', 'empty', 'empty', 'empty', 'empty']]]"
Julie Coatney,jcoat@fannect.me,dead,OSC,OU,Pitt,TX,empty,empty,"[[['OSC', 'OU', 'empty', 'empty', 'empty', 'empty']]]"
Adam Coatney,adam@fannect.me,dead,NDS,OSCU,Stanford,Arizona,empty,empty,"[[['NDS', 'OSCU', 'empty', 'empty', 'empty', 'empty']]]"
Tom Coatney,tom@fannect.me,dead,KU,MU,Kentucky,Memphis,empty,empty,"[[['KU', 'MU', 'empty', 'empty', 'empty', 'empty']]]"
Lion Tiger,tiger@fannect.me,dead,TX,OSU,Baylor,KU,empty,empty,"[[['KSU', 'ISU', 'empty', 'empty', 'empty', 'empty']]]"
Brian Coatney,brian@fannect.me,dead,TX,OSU,Baylor,KU,empty,empty,
Bill Simmons,bill@fannect.me,alive,KSU,TX,empty,empty,empty,empty,
